TIME(s)       V       a22       a24       a25       a34       a35       b22       b24       b25       b34       b35       c11       c33       KDX       TDX       Km_a       Km_b       ny2       nz2       Wm       Xim       Wm_b       Xim_b       q       theta
0.000000       250.000000       -1.635600       -286.202905       156.133360       0.794467       -0.000088       -1.635600       -286.202905       80.770330       0.795468       0.066741       4.394635       -502.155435       114.265552       0.227550        107.840483       72.478628       1.000000       -0.000000       16.955894       0.071658       16.955942       0.071688       38274.165000       0.000000       
0.010000       249.950731       -1.660252       -367.830140       121.846401       0.903925       0.021746       -1.604074       -312.683813       96.248357       0.826624       0.054352       4.393769       -232.609982       52.940873       0.227595        79.952503       76.858380       1.000000       -0.000000       19.217983       0.066713       17.720321       0.068585       38259.080597       0.000000       
0.020000       249.900387       -1.659797       -367.681981       121.762561       0.903735       0.021747       -1.603564       -312.562854       96.197924       0.826460       0.054338       4.392884       -232.481002       52.922177       0.227641        79.899578       76.818308       1.000000       -0.000000       19.214109       0.066710       17.716888       0.068579       38243.670222       0.000000       
0.030000       249.850060       -1.659364       -367.533903       121.695424       0.903545       0.021743       -1.603129       -312.436975       96.149518       0.826286       0.054324       4.392000       -232.307072       52.893236       0.227687        79.855986       76.779561       1.000000       -0.000000       19.210237       0.066707       17.713318       0.068576       38228.268192       0.000000       
0.040000       249.799751       -1.658910       -367.385905       121.611707       0.903355       0.021744       -1.602619       -312.316146       96.099151       0.826123       0.054310       4.391115       -232.177744       52.874436       0.227733        79.803139       76.739541       1.000000       -0.000000       19.206366       0.066704       17.709887       0.068570       38212.874502       0.000000       
0.050000       249.749462       -1.658456       -367.237998       121.528062       0.903165       0.021744       -1.602110       -312.195391       96.048821       0.825959       0.054296       4.390231       -232.048150       52.855564       0.227778        79.750337       76.699550       1.000000       -0.000000       19.202496       0.066700       17.706458       0.068565       38197.490269       0.000000       
0.060000       249.699190       -1.658023       -367.090171       121.461091       0.902976       0.021741       -1.601676       -312.069721       96.000517       0.825785       0.054282       4.389348       -231.874239       52.826585       0.227824        79.706851       76.660884       1.000000       -0.000000       19.198628       0.066697       17.702891       0.068561       38182.114361       0.000000       
0.070000       249.648935       -1.657570       -366.942424       121.377569       0.902786       0.021741       -1.601167       -311.949096       95.950253       0.825622       0.054268       4.388464       -231.744300       52.807609       0.227870        79.654126       76.620945       1.000000       -0.000000       19.194761       0.066694       17.699465       0.068555       38166.746773       0.000000       
0.080000       249.598701       -1.657117       -366.794768       121.294118       0.902596       0.021742       -1.600658       -311.828545       95.900027       0.825458       0.054254       4.387581       -231.614097       52.788562       0.227916        79.601445       76.581034       1.000000       -0.000000       19.190896       0.066691       17.696040       0.068550       38151.388620       0.000000       
0.090000       249.548484       -1.656685       -366.647192       121.227312       0.902406       0.021739       -1.600224       -311.703083       95.851823       0.825285       0.054240       4.386698       -231.440207       52.759544       0.227962        79.558065       76.542448       1.000000       -0.000000       19.187032       0.066688       17.692476       0.068546       38136.038774       0.000000       
