TIME(s)       V       a11       a12       a13       a14       a15       a16       a21       a22       a23       a24       a24_       a25       a25_       a26       a31       a32       a33       a34       a35       a36       b11       b12       b13       b14       b15       b16       b17       b18       b21       b22       b23       b24       b24_       b25       b25_       b26       b27       b28       b31       b32       b33       b34       b35       b36       b37       b38       q       ny2       nz2       
0.000000       250.000000       -2.608468       0.000000       -9.800000       -7.237620       -0.909521       0.054348       0.000000       -1.635600       0.000000       -286.202905       0.000000       156.133360       0.000000       0.636943       0.000000       0.000000       0.000000       0.794467       -0.000088       0.000217       -4.394635       0.000000       0.000000       0.000000       0.000000       0.000000       502.155435       41.666667       0.000000       -1.635600       0.000000       -286.202905       0.000000       80.770330       0.000000       0.000000       0.000000       0.636943       0.000000       -1.000000       0.000000       0.795468       0.066741       -0.039200       0.000000       -0.000217       38274.165000       1.000000       -0.000000
0.010000       249.950731       -2.560232       0.000000       -9.800000       -22.273758       -2.741454       0.054348       1.946938       -1.660252       0.000000       -367.830140       0.000000       121.846401       0.000000       0.636943       0.000574       0.000000       0.000000       0.903925       0.021746       0.000217       -4.393769       0.000000       0.000000       0.000000       0.000000       0.000000       232.609982       41.666667       0.000000       -1.604074       0.000000       -312.683813       0.000000       96.248357       0.000000       0.000000       0.000000       0.636943       0.000000       -1.000958       0.000000       0.826624       0.054352       -0.039170       0.000000       -0.000217       38259.080597       1.000000       -0.000000
0.020000       249.900387       -2.559684       0.000000       -9.800000       -22.262812       -2.739783       0.054348       1.948027       -1.659797       0.000000       -367.681981       0.000000       121.762561       0.000000       0.636943       0.000575       0.000000       0.000000       0.903735       0.021747       0.000217       -4.392884       0.000000       0.000000       0.000000       0.000000       0.000000       232.481002       41.666667       0.000000       -1.603564       0.000000       -312.562854       0.000000       96.197924       0.000000       0.000000       0.000000       0.636943       0.000000       -1.000959       0.000000       0.826460       0.054338       -0.039178       0.000000       -0.000217       38243.670222       1.000000       -0.000000
0.030000       249.850060       -2.558733       0.000000       -9.800000       -22.252613       -2.738278       0.054348       1.948059       -1.659364       0.000000       -367.533903       0.000000       121.695424       0.000000       0.636943       0.000575       0.000000       0.000000       0.903545       0.021743       0.000218       -4.392000       0.000000       0.000000       0.000000       0.000000       0.000000       232.307072       41.666667       0.000000       -1.603129       0.000000       -312.436975       0.000000       96.149518       0.000000       0.000000       0.000000       0.636943       0.000000       -1.000959       0.000000       0.826286       0.054324       -0.039186       0.000000       -0.000218       38228.268192       1.000000       -0.000000
0.040000       249.799751       -2.558186       0.000000       -9.800000       -22.241679       -2.736608       0.054348       1.949148       -1.658910       0.000000       -367.385905       0.000000       121.611707       0.000000       0.636943       0.000577       0.000000       0.000000       0.903355       0.021744       0.000218       -4.391115       0.000000       0.000000       0.000000       0.000000       0.000000       232.177744       41.666667       0.000000       -1.602619       0.000000       -312.316146       0.000000       96.099151       0.000000       0.000000       0.000000       0.636943       0.000000       -1.000960       0.000000       0.826123       0.054310       -0.039194       0.000000       -0.000218       38212.874502       1.000000       -0.000000
0.050000       249.749462       -2.557639       0.000000       -9.800000       -22.230753       -2.734940       0.054348       1.950236       -1.658456       0.000000       -367.237998       0.000000       121.528062       0.000000       0.636943       0.000578       0.000000       0.000000       0.903165       0.021744       0.000218       -4.390231       0.000000       0.000000       0.000000       0.000000       0.000000       232.048150       41.666667       0.000000       -1.602110       0.000000       -312.195391       0.000000       96.048821       0.000000       0.000000       0.000000       0.636943       0.000000       -1.000961       0.000000       0.825959       0.054296       -0.039202       0.000000       -0.000218       38197.490269       1.000000       -0.000000
0.060000       249.699190       -2.556690       0.000000       -9.800000       -22.220573       -2.733439       0.054348       1.950269       -1.658023       0.000000       -367.090171       0.000000       121.461091       0.000000       0.636943       0.000578       0.000000       0.000000       0.902976       0.021741       0.000218       -4.389348       0.000000       0.000000       0.000000       0.000000       0.000000       231.874239       41.666667       0.000000       -1.601676       0.000000       -312.069721       0.000000       96.000517       0.000000       0.000000       0.000000       0.636943       0.000000       -1.000961       0.000000       0.825785       0.054282       -0.039210       0.000000       -0.000218       38182.114361       1.000000       -0.000000
0.070000       249.648935       -2.556144       0.000000       -9.800000       -22.209659       -2.731773       0.054348       1.951357       -1.657570       0.000000       -366.942424       0.000000       121.377569       0.000000       0.636943       0.000579       0.000000       0.000000       0.902786       0.021741       0.000218       -4.388464       0.000000       0.000000       0.000000       0.000000       0.000000       231.744300       41.666667       0.000000       -1.601167       0.000000       -311.949096       0.000000       95.950253       0.000000       0.000000       0.000000       0.636943       0.000000       -1.000962       0.000000       0.825622       0.054268       -0.039217       0.000000       -0.000218       38166.746773       1.000000       -0.000000
0.080000       249.598701       -2.555598       0.000000       -9.800000       -22.198752       -2.730109       0.054348       1.952445       -1.657117       0.000000       -366.794768       0.000000       121.294118       0.000000       0.636943       0.000581       0.000000       0.000000       0.902596       0.021742       0.000218       -4.387581       0.000000       0.000000       0.000000       0.000000       0.000000       231.614097       41.666667       0.000000       -1.600658       0.000000       -311.828545       0.000000       95.900027       0.000000       0.000000       0.000000       0.636943       0.000000       -1.000962       0.000000       0.825458       0.054254       -0.039225       0.000000       -0.000218       38151.388620       1.000000       -0.000000
0.090000       249.548484       -2.554650       0.000000       -9.800000       -22.188592       -2.728611       0.054348       1.952478       -1.656685       0.000000       -366.647192       0.000000       121.227312       0.000000       0.636943       0.000580       0.000000       0.000000       0.902406       0.021739       0.000218       -4.386698       0.000000       0.000000       0.000000       0.000000       0.000000       231.440207       41.666667       0.000000       -1.600224       0.000000       -311.703083       0.000000       95.851823       0.000000       0.000000       0.000000       0.636943       0.000000       -1.000962       0.000000       0.825285       0.054240       -0.039233       0.000000       -0.000218       38136.038774       1.000000       -0.000000
