Time(s)	      V	      Theta      	Psi_V       X       Y       Z       Mass       Gamma       DeltaY       DeltaZ        Alpha       Beta       Gamma_V       nx2       ny2       nz2        mach       X       Y       Z       X0       Y0       Z0       X_delta       Y_delta        Z_delta       P       q       wx       DeltaY4       DeltaZ4       JX       YZ       S       L       mywx_beta  cy/cx 
0.000000       250.000000       0.000000       0.000000       0.000000       2.000000       0.000000       18.400000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       -0.430008       1.000000       -0.000000       0.734684       80.639606       0.000000       0.000000       80.639606       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       38274.165000       0.000000       0.000000       0.000000       0.024000       1.570000       0.011400       1.027000       0.000000       0.000000       
0.010000       249.950731       0.000000       0.000000       2.499759       2.000000       0.000000       18.400000       0.000000       0.000000       7.736414       2.506714       0.000000       0.000000       -0.513885       1.000000       -0.000000       0.734539       92.651918       180.339005       0.000000       88.934015       164.284039       0.000000       3.717903       16.054967       0.000000       0.000000       38259.080597       0.000000       0.000000       7.736414       0.024000       1.570000       0.011400       1.027000       0.000000       1.946414       
0.020000       249.900387       0.000000       0.000000       4.999015       2.000000       0.000000       18.400000       0.000000       0.000000       7.743560       2.507935       0.000000       0.000000       -0.513657       1.000000       -0.000000       0.734391       92.622647       180.370073       0.000000       88.900453       164.305429       0.000000       3.722194       16.064643       0.000000       0.000000       38243.670222       0.000000       0.000000       7.743560       0.024000       1.570000       0.011400       1.027000       0.000000       1.947365       
0.030000       249.850060       0.000000       0.000000       7.497767       2.000000       0.000000       18.400000       0.000000       0.000000       7.745250       2.507935       0.000000       0.000000       -0.513420       1.000000       -0.000000       0.734244       92.579868       180.299989       0.000000       88.858041       164.238286       0.000000       3.721827       16.061703       0.000000       0.000000       38228.268192       0.000000       0.000000       7.745250       0.024000       1.570000       0.011400       1.027000       0.000000       1.947508       
0.040000       249.799751       0.000000       0.000000       9.996016       2.000000       0.000000       18.400000       0.000000       0.000000       7.752401       2.509155       0.000000       0.000000       -0.513258       1.000000       -0.000000       0.734096       92.550634       180.331020       0.000000       88.824521       164.259641       0.000000       3.726113       16.071379       0.000000       0.000000       38212.874502       0.000000       0.000000       7.752401       0.024000       1.570000       0.011400       1.027000       0.000000       1.948458       
0.050000       249.749462       0.000000       0.000000       12.493762       2.000000       0.000000       18.400000       0.000000       0.000000       7.759556       2.510376       0.000000       0.000000       -0.513096       1.000000       -0.000000       0.733948       92.521420       180.362020       0.000000       88.791023       164.280965       0.000000       3.730397       16.081054       0.000000       0.000000       38197.490269       0.000000       0.000000       7.759556       0.024000       1.570000       0.011400       1.027000       0.000000       1.949408       
0.060000       249.699190       0.000000       0.000000       14.991005       2.000000       0.000000       18.400000       0.000000       0.000000       7.761249       2.510376       0.000000       0.000000       -0.512859       1.000000       -0.000000       0.733800       92.478713       180.291976       0.000000       88.748687       164.213865       0.000000       3.730026       16.078111       0.000000       0.000000       38182.114361       0.000000       0.000000       7.761249       0.024000       1.570000       0.011400       1.027000       0.000000       1.949551       
0.070000       249.648935       0.000000       0.000000       17.487746       2.000000       0.000000       18.400000       0.000000       0.000000       7.768409       2.511597       0.000000       0.000000       -0.512697       1.000000       -0.000000       0.733652       92.449535       180.322939       0.000000       88.715231       164.235154       0.000000       3.734304       16.087786       0.000000       0.000000       38166.746773       0.000000       0.000000       7.768409       0.024000       1.570000       0.011400       1.027000       0.000000       1.950501       
0.080000       249.598701       0.000000       0.000000       19.983984       2.000000       0.000000       18.400000       0.000000       0.000000       7.775572       2.512817       0.000000       0.000000       -0.512535       1.000000       -0.000000       0.733505       92.420377       180.353872       0.000000       88.681797       164.256412       0.000000       3.738580       16.097460       0.000000       0.000000       38151.388620       0.000000       0.000000       7.775572       0.024000       1.570000       0.011400       1.027000       0.000000       1.951451       
0.090000       249.548484       0.000000       0.000000       22.479720       2.000000       0.000000       18.400000       0.000000       0.000000       7.777268       2.512817       0.000000       0.000000       -0.512299       1.000000       -0.000000       0.733357       92.377741       180.283868       0.000000       88.639536       164.189354       0.000000       3.738205       16.094514       0.000000       0.000000       38136.038774       0.000000       0.000000       7.777268       0.024000       1.570000       0.011400       1.027000       0.000000       1.951594       
0.100000       249.498285       0.000000       0.000000       24.974954       2.000000       0.000000       18.400000       0.000000       0.000000       7.784437       2.514038       0.000000       0.000000       -0.512137       1.000000       -0.000000       0.733210       92.348620       180.314765       0.000000       88.606144       164.210577       0.000000       3.742476       16.104188       0.000000       0.000000       38120.697227       0.000000       0.000000       7.784437       0.024000       1.570000       0.011400       1.027000       0.000000       1.952544       
0.110000       249.448105       0.000000       0.000000       27.469686       2.000000       0.000000       18.400000       0.000000       0.000000       7.791609       2.515259       0.000000       0.000000       -0.511976       1.000000       -0.000000       0.733062       92.319517       180.345631       0.000000       88.572774       164.231769       0.000000       3.746743       16.113861       0.000000       0.000000       38105.365093       0.000000       0.000000       7.791609       0.024000       1.570000       0.011400       1.027000       0.000000       1.953494       
0.120000       249.397943       0.000000       0.000000       29.963916       2.000000       0.000000       18.400000       0.000000       0.000000       7.793307       2.515259       0.000000       0.000000       -0.511740       1.000000       -0.000000       0.732915       92.276953       180.275666       0.000000       88.530589       164.164754       0.000000       3.746364       16.110912       0.000000       0.000000       38090.041246       0.000000       0.000000       7.793307       0.024000       1.570000       0.011400       1.027000       0.000000       1.953637       
0.130000       249.347798       0.000000       0.000000       32.457645       2.000000       0.000000       18.400000       0.000000       0.000000       7.800484       2.516479       0.000000       0.000000       -0.511579       1.000000       -0.000000       0.732768       92.247888       180.306496       0.000000       88.497261       164.185911       0.000000       3.750627       16.120585       0.000000       0.000000       38074.725680       0.000000       0.000000       7.800484       0.024000       1.570000       0.011400       1.027000       0.000000       1.954587       
0.140000       249.297674       0.000000       0.000000       34.950872       2.000000       0.000000       18.400000       0.000000       0.000000       7.807666       2.517700       0.000000       0.000000       -0.511418       1.000000       -0.000000       0.732620       92.218841       180.337295       0.000000       88.463954       164.207037       0.000000       3.754887       16.130257       0.000000       0.000000       38059.419505       0.000000       0.000000       7.807666       0.024000       1.570000       0.011400       1.027000       0.000000       1.955536       
